"year","age_group","sex","cases","population","type"
2019,"20_24","Male",209635,11201547,"chalmydia"
2019,"15_19","Female",344130,10322313,"chalmydia"
2019,"20_24","Male",5064,11201547,"primary and secondary syphilis"
2019,"65_","Male",2350,23306818,"gonorrhea"
2019,"35_39","Female",839,10773397,"primary and secondary syphilis"
2019,"15_19","Female",57758,10322313,"gonorrhea"
2019,"25_29","Male",84207,12018838,"gonorrhea"
2019,"40_44","Male",21871,9797410,"gonorrhea"
2019,"30_34","Female",29045,10944147,"gonorrhea"
2019,"65_","Male",2036,23306818,"chalmydia"
2019,"25_29","Female",199581,11542918,"chalmydia"
2019,"15_19","Male",1202,10774908,"primary and secondary syphilis"
2019,"30_34","Female",1085,10944147,"primary and secondary syphilis"
2019,"45_54","Male",26356,20541202,"gonorrhea"
2019,"65_","Male",485,23306818,"primary and secondary syphilis"
2019,"20_24","Female",1234,10672032,"primary and secondary syphilis"
2019,"55_64","Female",201,21873773,"primary and secondary syphilis"
2019,"65_","Female",336,29124375,"gonorrhea"
2019,"35_39","Male",36866,10790190,"gonorrhea"
2019,"45_54","Female",646,21090497,"primary and secondary syphilis"
2019,"65_","Female",30,29124375,"primary and secondary syphilis"
2019,"55_64","Male",2210,20398863,"primary and secondary syphilis"
2019,"40_44","Male",23715,9797410,"chalmydia"
2019,"25_29","Male",140281,12018838,"chalmydia"
2019,"15_19","Male",108724,10774908,"chalmydia"
2019,"35_39","Female",16614,10773397,"gonorrhea"
2019,"10_14","Male",522,10658840,"gonorrhea"
2019,"20_24","Female",78700,10672032,"gonorrhea"
2019,"55_64","Male",11683,20398863,"gonorrhea"
2019,"20_24","Female",438567,10672032,"chalmydia"
2019,"30_34","Male",58749,11191871,"gonorrhea"
2019,"40_44","Male",2689,9797410,"primary and secondary syphilis"
2019,"55_64","Female",4378,21873773,"chalmydia"
2019,"35_39","Female",40897,10773397,"chalmydia"
2019,"45_54","Female",6884,21090497,"gonorrhea"
2019,"40_44","Female",579,9916891,"primary and secondary syphilis"
2019,"15_19","Female",502,10322313,"primary and secondary syphilis"
2019,"20_24","Male",83278,11201547,"gonorrhea"
2019,"45_54","Female",15256,21090497,"chalmydia"
2019,"30_34","Male",78579,11191871,"chalmydia"
2019,"35_39","Male",3987,10790190,"primary and secondary syphilis"
2019,"15_19","Male",35402,10774908,"gonorrhea"
2019,"25_29","Female",1361,11542918,"primary and secondary syphilis"
2019,"40_44","Female",19185,9916891,"chalmydia"
2019,"35_39","Male",43605,10790190,"chalmydia"
2019,"10_14","Female",10094,10220687,"chalmydia"
2019,"40_44","Female",8417,9916891,"gonorrhea"
2019,"65_","Female",736,29124375,"chalmydia"
2019,"10_14","Male",1432,10658840,"chalmydia"
2019,"10_14","Male",9,10658840,"primary and secondary syphilis"
2019,"25_29","Female",51260,11542918,"gonorrhea"
2019,"45_54","Male",25150,20541202,"chalmydia"
2019,"10_14","Female",13,10220687,"primary and secondary syphilis"
2019,"10_14","Female",2113,10220687,"gonorrhea"
2019,"30_34","Female",84726,10944147,"chalmydia"
2019,"25_29","Male",6924,12018838,"primary and secondary syphilis"
2019,"55_64","Male",9567,20398863,"chalmydia"
2019,"55_64","Female",1916,21873773,"gonorrhea"
2019,"30_34","Male",5725,11191871,"primary and secondary syphilis"
2019,"45_54","Male",4099,20541202,"primary and secondary syphilis"
