"year","state","county","cases","population","type"
2019,"Kansas","Hodgeman County",1,1818,"chlamydia"
2019,"Iowa","Sioux County",12,34909,"gonorrhea"
2019,"Illinois","Johnson County",0,12456,"primary and secondary syphilis"
2019,"Illinois","White County",18,13665,"gonorrhea"
2019,"Colorado","Kiowa County",1,1383,"primary and secondary syphilis"
2019,"Wyoming","Laramie County",165,98976,"gonorrhea"
2019,"South Dakota","Fall River County",15,6758,"chlamydia"
2019,"Montana","Mineral County",0,4316,"gonorrhea"
2019,"Georgia","Dougherty County",316,91243,"gonorrhea"
2019,"Oklahoma","Delaware County",40,42733,"gonorrhea"
2019,"Idaho","Oneida County",4,4488,"chlamydia"
2019,"North Dakota","Stark County",122,30997,"chlamydia"
2019,"Missouri","Caldwell County",37,9108,"chlamydia"
2019,"Wyoming","Weston County",9,6967,"chlamydia"
2019,"Pennsylvania","Wyoming County",43,27046,"chlamydia"
2019,"Kansas","Riley County",3,73703,"primary and secondary syphilis"
2019,"Kentucky","Pike County",115,58402,"chlamydia"
2019,"Tennessee","Blount County",5,131349,"primary and secondary syphilis"
2019,"Oklahoma","Custer County",1,29036,"primary and secondary syphilis"
2019,"Pennsylvania","Allegheny County",1914,1218452,"gonorrhea"
2019,"Illinois","Pike County",5,15611,"gonorrhea"
2019,"Florida","Jackson County",130,48305,"gonorrhea"
2019,"Florida","Lafayette County",12,8732,"gonorrhea"
2019,"Kansas","Geary County",5,32594,"primary and secondary syphilis"
2019,"Virginia","Bland County",20,6293,"chlamydia"
2019,"Tennessee","Trousdale County",38,11012,"chlamydia"
2019,"Oklahoma","Marshall County",5,16806,"primary and secondary syphilis"
2019,"Indiana","Miami County",91,35567,"chlamydia"
2019,"South Carolina","Spartanburg County",27,313888,"primary and secondary syphilis"
2019,"New Hampshire","Rockingham County",68,309176,"gonorrhea"
2019,"Texas","Navarro County",228,49565,"chlamydia"
2019,"Indiana","Spencer County",43,20327,"chlamydia"
2019,"Kansas","Trego County",0,2793,"gonorrhea"
2019,"Kansas","Geary County",610,32594,"chlamydia"
2019,"Ohio","Tuscarawas County",1,92176,"primary and secondary syphilis"
2019,"Arkansas","Independence County",0,37678,"primary and secondary syphilis"
2019,"Pennsylvania","Lehigh County",379,368100,"gonorrhea"
2019,"Montana","Cascade County",171,81643,"gonorrhea"
2019,"Virginia","Richmond city",1400,228783,"gonorrhea"
2019,"Illinois","Massac County",28,14080,"gonorrhea"
2019,"Minnesota","Clearwater County",23,8810,"chlamydia"
2019,"Texas","Hood County",3,60537,"primary and secondary syphilis"
2019,"Missouri","Henry County",32,21792,"gonorrhea"
2019,"Texas","Brooks County",37,7114,"chlamydia"
2019,"Tennessee","Coffee County",45,55700,"gonorrhea"
2019,"Mississippi","Yalobusha County",123,12392,"chlamydia"
2019,"Georgia","Union County",19,24001,"chlamydia"
2019,"New Jersey","Morris County",980,494228,"chlamydia"
2019,"Alabama","Lauderdale County",23,92387,"primary and secondary syphilis"
2019,"Kansas","Sherman County",24,5899,"chlamydia"
2019,"Nebraska","Keith County",2,8021,"gonorrhea"
2019,"New Jersey","Mercer County",530,369811,"gonorrhea"
2019,"Ohio","Medina County",387,179146,"chlamydia"
2019,"Texas","Gillespie County",24,26804,"chlamydia"
2019,"Louisiana","Washington Parish",318,46582,"chlamydia"
2019,"Kentucky","Livingston County",0,9242,"primary and secondary syphilis"
2019,"Missouri","Nodaway County",28,22304,"gonorrhea"
2019,"Iowa","Jefferson County",11,18381,"gonorrhea"
2019,"Iowa","Bremer County",0,24947,"primary and secondary syphilis"
2019,"New Mexico","Hidalgo County",18,4240,"chlamydia"
2019,"Nebraska","Stanton County",0,5970,"primary and secondary syphilis"
2019,"Alaska","Northwest Arctic Borough",123,7671,"gonorrhea"
2019,"Virginia","Harrisonburg city",74,54033,"gonorrhea"
2019,"Mississippi","Benton County",1,8271,"primary and secondary syphilis"
2019,"Virginia","Smyth County",105,30472,"chlamydia"
2019,"South Carolina","Lexington County",23,295032,"primary and secondary syphilis"
2019,"Minnesota","Polk County",1,31529,"primary and secondary syphilis"
2019,"Kansas","Linn County",0,9750,"primary and secondary syphilis"
2019,"New York","Franklin County",5,50293,"gonorrhea"
2019,"Missouri","Cass County",171,104954,"gonorrhea"
2019,"Georgia","Echols County",7,4000,"chlamydia"
2019,"Ohio","Wyandot County",66,21935,"chlamydia"
2019,"Minnesota","Goodhue County",2,46403,"primary and secondary syphilis"
2019,"Indiana","Fulton County",9,20092,"gonorrhea"
2019,"Indiana","Carroll County",19,20127,"gonorrhea"
2019,"Georgia","Heard County",11,11879,"gonorrhea"
2019,"South Carolina","Lancaster County",398,95380,"chlamydia"
2019,"West Virginia","Brooke County",8,22203,"gonorrhea"
2019,"Pennsylvania","Cameron County",0,4492,"primary and secondary syphilis"
2019,"Arkansas","Logan County",23,21737,"gonorrhea"
2019,"Virginia","Waynesboro city",1,22628,"primary and secondary syphilis"
2019,"Florida","Palm Beach County",121,1485941,"primary and secondary syphilis"
2019,"Pennsylvania","Clinton County",99,38684,"chlamydia"
2019,"Idaho","Oneida County",0,4488,"primary and secondary syphilis"
2019,"North Carolina","Graham County",17,8484,"chlamydia"
2019,"Indiana","Benton County",27,8653,"chlamydia"
2019,"Colorado","Jefferson County",1134,580233,"chlamydia"
2019,"Virginia","Franklin County",171,56195,"chlamydia"
2019,"Georgia","Irwin County",0,9398,"primary and secondary syphilis"
