"year","sex","age_group","cases","population","type"
2010,"Female","35_44",244,20634607,"primary and secondary syphilis"
2010,"Female","20_24",474,10571823,"primary and secondary syphilis"
2010,"Female","15_19",313,10736677,"primary and secondary syphilis"
2010,"Female","35_44",7402,20634607,"gonorrhea"
2010,"Female","30_34",51925,9965599,"chlamydia"
2010,"Female","20_24",58574,10571823,"gonorrhea"
2010,"Female","20_24",355994,10571823,"chlamydia"
2010,"Female","25_29",322,10466258,"primary and secondary syphilis"
2010,"Female","15_19",59867,10736677,"gonorrhea"
2010,"Female","15_19",354252,10736677,"chlamydia"
2010,"Female","30_34",197,9965599,"primary and secondary syphilis"
2010,"Female","25_29",23907,10466258,"gonorrhea"
2010,"Female","35_44",32352,20634607,"chlamydia"
2010,"Female","20_29",130561,10466258,"chlamydia"
2010,"Female","30_34",10510,9965599,"gonorrhea"
2011,"Female","25_29",268,10518279,"primary and secondary syphilis"
2011,"Female","15_19",366818,10525097,"chlamydia"
2011,"Female","15_19",59747,10525097,"gonorrhea"
2011,"Female","35_44",34831,20404484,"chlamydia"
2011,"Female","30_34",187,10228056,"primary and secondary syphilis"
2011,"Female","35_44",206,20404484,"primary and secondary syphilis"
2011,"Female","15_19",258,10525097,"primary and secondary syphilis"
2011,"Female","35_44",7804,20404484,"gonorrhea"
2011,"Female","30_34",11044,10228056,"gonorrhea"
2011,"Female","20_24",403,10841132,"primary and secondary syphilis"
2011,"Female","20_29",140628,10518279,"chlamydia"
2011,"Female","25_29",24821,10518279,"gonorrhea"
2011,"Female","30_34",56562,10228056,"chlamydia"
2011,"Female","20_24",393534,10841132,"chlamydia"
2011,"Female","20_24",61756,10841132,"gonorrhea"
2012,"Female","20_24",62711,11033747,"gonorrhea"
2012,"Female","25_29",26722,10553440,"gonorrhea"
2012,"Female","30_34",12436,10417089,"gonorrhea"
2012,"Female","15_19",54852,10397841,"gonorrhea"
2012,"Female","15_19",238,10397841,"primary and secondary syphilis"
2012,"Female","20_29",146037,10553440,"chlamydia"
2012,"Female","30_34",182,10417089,"primary and secondary syphilis"
2012,"Female","35_44",8759,20342813,"gonorrhea"
2012,"Female","30_34",59594,10417089,"chlamydia"
2012,"Female","20_24",418,11033747,"primary and secondary syphilis"
2012,"Female","35_44",190,20342813,"primary and secondary syphilis"
2012,"Female","15_19",346430,10397841,"chlamydia"
2012,"Female","20_24",400629,11033747,"chlamydia"
2012,"Female","25_29",266,10553440,"primary and secondary syphilis"
2012,"Female","35_44",37558,20342813,"chlamydia"
2013,"Female","35_44",39221,20307429,"chlamydia"
2013,"Female","20_29",150733,10620319,"chlamydia"
2013,"Female","20_24",435,11116473,"primary and secondary syphilis"
2013,"Female","15_19",47749,10312774,"gonorrhea"
2013,"Female","35_44",230,20307429,"primary and secondary syphilis"
2013,"Female","30_34",13143,10582777,"gonorrhea"
2013,"Female","25_29",286,10620319,"primary and secondary syphilis"
2013,"Female","35_44",9337,20307429,"gonorrhea"
2013,"Female","25_29",27266,10620319,"gonorrhea"
2013,"Female","30_34",172,10582777,"primary and secondary syphilis"
2013,"Female","15_19",200,10312774,"primary and secondary syphilis"
2013,"Female","20_24",399545,11116473,"chlamydia"
2013,"Female","30_34",62414,10582777,"chlamydia"
2013,"Female","15_19",316438,10312774,"chlamydia"
2013,"Female","20_24",59760,11116473,"gonorrhea"
2014,"Female","30_34",248,10719741,"primary and secondary syphilis"
2014,"Female","35_44",43207,20353904,"chlamydia"
2014,"Female","35_44",9974,20353904,"gonorrhea"
2014,"Female","20_29",161793,10826549,"chlamydia"
2014,"Female","35_44",280,20353904,"primary and secondary syphilis"
2014,"Female","30_34",67060,10719741,"chlamydia"
2014,"Female","25_29",361,10826549,"primary and secondary syphilis"
2014,"Female","20_24",405876,11172747,"chlamydia"
2014,"Female","15_19",303294,10283624,"chlamydia"
2014,"Female","20_24",503,11172747,"primary and secondary syphilis"
2014,"Female","15_19",262,10283624,"primary and secondary syphilis"
2014,"Female","30_34",13988,10719741,"gonorrhea"
2014,"Female","15_19",44399,10283624,"gonorrhea"
2014,"Female","25_29",28899,10826549,"gonorrhea"
2014,"Female","20_24",59329,11172747,"gonorrhea"
2015,"Female","15_19",45477,10311036,"gonorrhea"
2015,"Female","20_24",61105,11071459,"gonorrhea"
2015,"Female","15_19",283,10311036,"primary and secondary syphilis"
2015,"Female","25_29",491,11052155,"primary and secondary syphilis"
2015,"Female","30_34",15867,10785909,"gonorrhea"
