"year","sex","age_group","cases","population","type"
2010,"Male","25_29",66470,10635591,"chlamydia"
2010,"Male","35_44",25455,20435999,"chlamydia"
2010,"Male","30_34",14809,9996500,"gonorrhea"
2010,"Male","30_34",31230,9996500,"chlamydia"
2010,"Male","20_24",46708,11014176,"gonorrhea"
2010,"Male","15_19",617,11303666,"primary and secondary syphilis"
2010,"Male","25_29",2131,10635591,"primary and secondary syphilis"
2010,"Male","15_19",28002,11303666,"gonorrhea"
2010,"Male","30_34",1597,9996500,"primary and secondary syphilis"
2010,"Male","20_24",2429,11014176,"primary and secondary syphilis"
2010,"Male","25_29",26818,10635591,"gonorrhea"
2010,"Male","15_19",85570,11303666,"chlamydia"
2010,"Male","35_44",2761,20435999,"primary and secondary syphilis"
2010,"Male","35_44",15557,20435999,"gonorrhea"
2010,"Male","20_24",131686,11014176,"chlamydia"
2011,"Male","15_19",606,11118946,"primary and secondary syphilis"
2011,"Male","30_34",34971,10282648,"chlamydia"
2011,"Male","30_34",16044,10282648,"gonorrhea"
2011,"Male","15_19",90764,11118946,"chlamydia"
2011,"Male","35_44",15927,20223470,"gonorrhea"
2011,"Male","25_29",28288,10761515,"gonorrhea"
2011,"Male","35_44",27371,20223470,"chlamydia"
2011,"Male","25_29",73357,10761515,"chlamydia"
2011,"Male","20_24",2582,11312700,"primary and secondary syphilis"
2011,"Male","20_24",49633,11312700,"gonorrhea"
2011,"Male","25_29",2277,10761515,"primary and secondary syphilis"
2011,"Male","35_44",2673,20223470,"primary and secondary syphilis"
2011,"Male","30_34",1657,10282648,"primary and secondary syphilis"
2011,"Male","20_24",147948,11312700,"chlamydia"
2011,"Male","15_19",28102,11118946,"gonorrhea"
2012,"Male","30_34",38011,10493906,"chlamydia"
2012,"Male","15_19",640,10962861,"primary and secondary syphilis"
2012,"Male","20_24",2859,11549456,"primary and secondary syphilis"
2012,"Male","20_24",52351,11549456,"gonorrhea"
2012,"Male","35_44",2987,20173607,"primary and secondary syphilis"
2012,"Male","35_44",29870,20173607,"chlamydia"
2012,"Male","25_29",2641,10844886,"primary and secondary syphilis"
2012,"Male","15_19",26578,10962861,"gonorrhea"
2012,"Male","30_34",18936,10493906,"gonorrhea"
2012,"Male","20_24",152772,11549456,"chlamydia"
2012,"Male","30_34",2023,10493906,"primary and secondary syphilis"
2012,"Male","35_44",18351,20173607,"gonorrhea"
